rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,train/n_updates,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/clip_range,train/entropy_loss,train/learning_rate,train/clip_fraction,train/loss,eval/mean_reward,eval/mean_ep_length
-1275.96714102,4,8192,71.6,1696,1,,,,,,,,,,,,
-884.83433368,13,16384,91.89,1197,2,10,140537.0866821289,-0.016157231663601123,0.009586393,0.0002104043960571289,0.2,-1.7852982182987034,0.0003,0.0802978515625,70352.3984375,,
-775.8012315799999,23,24576,117.81,1052,3,20,118578.14408874512,-0.01554265722661512,0.0074937046,7.62939453125e-06,0.2,-1.76116763940081,0.0003,0.09105224609375,64196.62109375,,
-455.13157463000005,32,32768,137.82,1010,4,30,102820.174508667,-0.01291728436244739,0.0072537707,-2.1457672119140625e-06,0.2,-1.7360478698275983,0.0003,0.1187255859375,57500.06640625,,
,,40000,,,,40,98443.4146850586,-0.00874649297711585,0.00920856,-1.3113021850585938e-06,0.2,-1.7095793089829385,0.0003,0.12529296875,41793.984375,-3580.555112653971,1924.5
160.14366851,68,40960,168.46,601,5,,,,,,,,,,,,
902.65431732,76,49152,211.4,639,6,50,110529.26246337891,-0.0050413260421919405,0.00893583,-1.1920928955078125e-07,0.2,-1.6822082071565092,0.0003,0.06695556640625,63492.640625,,
1586.76252101,85,57344,250.55,666,7,60,133370.08141174316,-0.001686229163169628,0.0011285436,-1.1920928955078125e-07,0.2,-1.6629553247243165,0.0003,0.000146484375,61126.28125,,
1942.57040822,94,65536,284.42,693,8,70,143630.52590332032,-0.0036719007957799477,0.0022687893,-1.1920928955078125e-07,0.2,-1.6439660013653339,0.0003,0.0091796875,62314.03125,,
2578.54153061,104,73728,336.21,706,9,80,118212.4838684082,-0.003020883968565613,0.0026648517,1.7881393432617188e-07,0.2,-1.6235426679253577,0.0003,0.00660400390625,37949.67578125,,
,,80000,,,,90,87314.15157775879,-0.0026166453393670964,0.010876715,0.0,0.2,-1.6032424244098364,0.0003,0.03140869140625,32876.1015625,-4966.79604049772,2063.5
3336.61931651,153,81920,368.27,535,10,,,,,,,,,,,,
3669.18052774,194,90112,408.03,464,11,100,151428.65311279296,-0.0018304037273992435,0.0016191792,5.960464477539063e-08,0.2,-1.5679318556562065,0.0003,0.00228271484375,85682.25,,
3915.1128771,203,98304,448.12,482,12,110,90085.68858947753,-0.0005677387471223483,0.0053057694,1.7881393432617188e-07,0.2,-1.5381498279049992,0.0003,0.06624755859375,36811.703125,,
3998.5844859100007,212,106496,497.04,501,13,120,93563.15739440918,0.0033942522495635785,0.0075092623,2.384185791015625e-07,0.2,-1.5051757954992353,0.0003,0.1666015625,51998.765625,,
